kon	0	0	3	0.666667	0	1	3	1	0	111	127
Ëen	0	0	3	1	0	1	3	1	0	101	123
'a	1	0	1	1	1	0	4	0.25	1	97	90
po	0	0	3	0.333333	0	0	4	0.5	1	111	91
ËÌ	0	0	3	0.666667	0	0	4	0.5	0	237	95
taË	0	0	3	1	0	0	4	0.5	0	97	89
se	1	0	1	1	0	0	4	0.75	1	101	93
vi	0	0	2	0.5	0	1	4	1	1	105	81
pne	0	0	2	1	0	1	4	1	0	101	59
------------------------------------------											
ji	0	0	2	0.5	1	0	6	0.166667	1	105	101
nÈ	0	0	2	1	1	0	6	0.166667	0	233	119
po	0	0	3	0.333333	0	0	6	0.333333	1	111	134
dro	0	0	3	0.666667	0	0	6	0.333333	0	111	124
bnÈ	0	0	3	1	0	0	6	0.333333	0	233	122
'˙	0	0	3	0.333333	0	0	6	0.5	1	250	111
da	0	0	3	0.666667	0	0	6	0.5	0	97	107
je	0	0	3	1	0	0	6	0.5	0	101	105
'o	0	0	4	0.25	0	0	6	0.666667	1	111	100
kul	0	0	4	0.5	0	0	6	0.666667	0	117	103
tur	0	0	4	0.75	0	0	6	0.666667	0	117	102
ÚÌx	0	0	4	1	0	0	6	0.666667	0	237	77
'ak	0	0	2	0.5	0	0	6	0.833333	1	97	90
cÌx	0	0	2	1	0	0	6	0.833333	0	237	85
ne	0	0	3	0.333333	0	1	6	1	1	101	81
m·	0	0	3	0.666667	0	1	6	1	0	225	76
me	0	0	3	1	0	1	6	1	0	101	64
------------------------------------------											
sO	0	0	2	0.5	1	0	6	0.166667	1	79	99
bor	0	0	2	1	1	0	6	0.166667	0	111	129
'op	0	0	5	0.2	0	0	6	0.333333	1	111	112
sa	0	0	5	0.4	0	0	6	0.333333	0	97	112
hu	0	0	5	0.6	0	0	6	0.333333	0	117	111
jÌ	0	0	5	0.8	0	0	6	0.333333	0	237	111
cÌ	0	0	5	1	0	0	6	0.333333	0	237	94
ta	0	0	3	0.333333	0	0	6	0.5	1	97	90
bul	0	0	3	0.666667	0	0	6	0.5	0	117	104
ki	0	0	3	1	0	0	6	0.5	0	105	79
dat	1	0	1	1	0	0	6	0.666667	1	97	99
je	1	0	1	1	0	0	6	0.833333	1	101	94
'u	0	0	3	0.333333	0	1	6	1	1	117	93
lo	0	0	3	0.666667	0	1	6	1	0	111	78
ûen	0	0	3	1	0	1	6	1	0	101	69
------------------------------------------											
vlag	1	0	1	1	1	0	3	0.333333	1	97	118
dnes	1	0	1	1	0	0	3	0.666667	1	101	114
ne	0	0	3	0.333333	0	1	3	1	1	101	88
je	0	0	3	0.666667	0	1	3	1	0	101	78
de	0	0	3	1	0	1	3	1	0	101	61
------------------------------------------											
ji	0	0	2	0.5	1	0	3	0.333333	1	105	91
nÈ	0	0	2	1	1	0	3	0.333333	0	233	115
'˙	0	0	3	0.333333	0	0	3	0.666667	1	250	124
da	0	0	3	0.666667	0	0	3	0.666667	0	97	110
je	0	0	3	1	0	0	3	0.666667	0	101	99
ne	0	0	3	0.333333	0	1	3	1	1	101	81
m·	0	0	3	0.666667	0	1	3	1	0	225	69
me	0	0	3	1	0	1	3	1	0	101	67
------------------------------------------											
traù	1	0	1	1	1	0	7	0.142857	1	97	88
spar	0	0	3	0.333333	0	0	7	0.285714	1	97	123
du	0	0	3	0.666667	0	0	7	0.285714	0	117	149
biZ	0	0	3	1	0	0	7	0.285714	0	105	95
do	0	0	3	0.333333	0	0	7	0.428571	1	111	86
pl	0	0	3	0.666667	0	0	7	0.428571	0	108	93
zÚe	0	0	3	1	0	0	7	0.428571	0	101	105
se	1	0	1	1	0	0	7	0.571429	1	101	96
ten	0	0	2	0.5	0	0	7	0.714286	1	101	96
to	0	0	2	1	0	0	7	0.714286	0	111	115
tÌ	0	0	2	0.5	0	0	7	0.857143	1	237	118
den	0	0	2	1	0	0	7	0.857143	0	101	93
'o	0	0	4	0.25	0	1	7	1	1	111	80
pra	0	0	4	0.5	0	1	7	1	0	97	77
vu	0	0	4	0.75	0	1	7	1	0	117	74
je	0	0	4	1	0	1	7	1	0	101	94
'a	1	0	1	1	1	0	7	0.142857	1	97	89
pro	0	0	2	0.5	0	0	7	0.285714	1	111	162
to	0	0	2	1	0	0	7	0.285714	0	111	148
'o	0	0	3	0.333333	0	0	7	0.428571	1	111	129
so	0	0	3	0.666667	0	0	7	0.428571	0	111	138
bÚÌ	0	0	3	1	0	0	7	0.428571	0	237	80
vlak	1	0	1	1	0	0	7	0.571429	1	97	117
