Ke 6 82
KL 8 105
KT 14 177
LB 9 117
LC 13 162
LD 12 156
Ln 9 112
LV 8 105
m\ 12 149
MC 21 263
Me 7 84
mG 11 138
mK 23 288
ML 7 90
MM 33 418
Mn 8 100
MP 13 167
MS 11 135
NB 16 204
NC 10 129
ND 11 134
NP 16 204
NS 15 190
NT 11 138
Om 18 229
Pe 4 48
PJ 5 67
PN 5 69
Pr 7 91
PX 10 128
rc 17 221
Re 4 45
Se 8 104
SK 9 111
SL 8 103
SM 12 155
SN 9 113
sN 9 120
SP 13 169
sP 18 224
ST 10 126
Te 5 63
TK 9 109
TN 4 53
Tr 10 127
TS 16 199
Ts 11 135
TV 10 330
Ve 3 39
VJ 7 85
VL 7 92
Vn 12 149
VZ 12 154
XK 21 261
XN 11 140
XP 13 161
ZB 13 163
ZD 11 135
zD 16 205
